refVideo,captureVideo,startFrame,endFrame,avgSSIM
Video001.mp4,Video001M1001.ts,1135,1884,0.988831
Video001.mp4,Video001M1001.ts,1885,2634,0.989215
Video001.mp4,Video001M1001.ts,2635,3384,0.985285
Video001.mp4,Video001M1001.ts,3385,4134,0.992741
Video001.mp4,Video001M1001.ts,4135,4884,0.994682
Video001.mp4,Video001M1001.ts,4885,5634,0.98922
Video001.mp4,Video001M1001.ts,5635,6384,0.988554
Video001.mp4,Video001M1001.ts,6385,7134,0.989353
Video001.mp4,Video001M1001.ts,7135,7884,0.975224
Video002.mp4,Video002M1001.ts,424,1173,0.971175
Video002.mp4,Video002M1001.ts,1174,1923,0.984443
Video002.mp4,Video002M1001.ts,1924,2673,0.986937
Video002.mp4,Video002M1001.ts,2674,3423,0.993682
Video002.mp4,Video002M1001.ts,3424,4173,0.980014
Video002.mp4,Video002M1001.ts,4174,4923,0.989983
Video002.mp4,Video002M1001.ts,4924,5673,0.99564
Video002.mp4,Video002M1001.ts,5674,6423,0.995002
Video003.mp4,Video003M1001.ts,379,1128,0.969155
Video003.mp4,Video003M1001.ts,1129,1878,0.972453
Video003.mp4,Video003M1001.ts,1879,2628,0.981044
Video003.mp4,Video003M1001.ts,2629,3378,0.9796
Video003.mp4,Video003M1001.ts,3379,4128,0.982674
Video003.mp4,Video003M1001.ts,4129,4878,0.980476
Video003.mp4,Video003M1001.ts,4879,5628,0.976221
Video003.mp4,Video003M1001.ts,5629,6378,0.975718
Video003.mp4,Video003M1001.ts,6379,7128,0.975639
Video004.mp4,Video004M1001.ts,466,1215,0.974556
Video004.mp4,Video004M1001.ts,1216,1965,0.982382
Video004.mp4,Video004M1001.ts,1966,2715,0.985126
Video004.mp4,Video004M1001.ts,2716,3465,0.986522
Video004.mp4,Video004M1001.ts,3466,4215,0.984619
Video004.mp4,Video004M1001.ts,4216,4965,0.998226
Video004.mp4,Video004M1001.ts,4966,5715,0.996694
Video004.mp4,Video004M1001.ts,5716,6465,0.995387
Video004.mp4,Video004M1001.ts,6466,7215,0.98293
Video004.mp4,Video004M1001.ts,7216,7965,0.974839
Video004.mp4,Video004M1001.ts,7966,8715,0.974885
Video004.mp4,Video004M1001.ts,8716,9465,0.975834
Video004.mp4,Video004M1001.ts,9466,10215,0.984512
Video004.mp4,Video004M1001.ts,10216,10965,0.990717
Video004.mp4,Video004M1001.ts,10966,11715,0.99513
Video005.mp4,Video005M1001.ts,549,1298,0.967276
Video005.mp4,Video005M1001.ts,1299,2048,0.970175
Video005.mp4,Video005M1001.ts,2049,2798,0.970302
Video005.mp4,Video005M1001.ts,2799,3548,0.976025
Video005.mp4,Video005M1001.ts,3549,4298,0.964648
Video005.mp4,Video005M1001.ts,4299,5048,0.969811
Video005.mp4,Video005M1001.ts,5049,5798,0.976494
Video005.mp4,Video005M1001.ts,5799,6548,0.97871
Video005.mp4,Video005M1001.ts,6549,7298,0.981834
Video005.mp4,Video005M1001.ts,7299,8048,0.974248
Video005.mp4,Video005M1001.ts,8049,8798,0.974262
Video005.mp4,Video005M1001.ts,8799,9548,0.97255
Video005.mp4,Video005M1001.ts,9549,10298,0.969306
Video005.mp4,Video005M1001.ts,10299,11048,0.969153
Video005.mp4,Video005M1001.ts,11049,11798,0.975186
Video006.mp4,Video006M1001.ts,947,1696,0.978071
Video006.mp4,Video006M1001.ts,1697,2446,0.970145
Video006.mp4,Video006M1001.ts,2447,3196,0.978217
Video006.mp4,Video006M1001.ts,3197,3946,0.974002
Video006.mp4,Video006M1001.ts,3947,4696,0.978123
Video006.mp4,Video006M1001.ts,4697,5446,0.9855
Video006.mp4,Video006M1001.ts,5447,6196,0.981729
Video006.mp4,Video006M1001.ts,6197,6946,0.981059
Video007.mp4,Video007M1001.ts,444,1193,0.986628
Video007.mp4,Video007M1001.ts,1194,1943,0.98813
Video007.mp4,Video007M1001.ts,1944,2693,0.989411
Video007.mp4,Video007M1001.ts,2694,3443,0.985254
Video007.mp4,Video007M1001.ts,3444,4193,0.978272
Video007.mp4,Video007M1001.ts,4194,4943,0.991103
Video007.mp4,Video007M1001.ts,4944,5693,0.988666
Video007.mp4,Video007M1001.ts,5694,6443,0.981255
Video007.mp4,Video007M1001.ts,6444,7193,0.983792
Video007.mp4,Video007M1001.ts,7194,7943,0.980525
Video007.mp4,Video007M1001.ts,7944,8693,0.984735
Video008.mp4,Video008M1001.ts,389,1138,0.98009
Video008.mp4,Video008M1001.ts,1139,1888,0.978713
Video008.mp4,Video008M1001.ts,1889,2638,0.953306
Video008.mp4,Video008M1001.ts,2639,3388,0.986889
Video008.mp4,Video008M1001.ts,3389,4138,0.984938
Video008.mp4,Video008M1001.ts,4139,4888,0.982957
Video008.mp4,Video008M1001.ts,4889,5638,0.985555
Video009.mp4,Video009M1001.ts,402,1151,0.973881
Video009.mp4,Video009M1001.ts,1152,1901,0.972286
Video009.mp4,Video009M1001.ts,1902,2651,0.973921
Video009.mp4,Video009M1001.ts,2652,3401,0.985369
Video009.mp4,Video009M1001.ts,3402,4151,0.975897
Video009.mp4,Video009M1001.ts,4152,4901,0.984089
Video009.mp4,Video009M1001.ts,4902,5651,0.985917
Video009.mp4,Video009M1001.ts,5652,6401,0.977864
Video010.mp4,Video010M1001.ts,318,1067,0.972637
Video010.mp4,Video010M1001.ts,1068,1817,0.981163
Video010.mp4,Video010M1001.ts,1818,2567,0.986102
Video010.mp4,Video010M1001.ts,2568,3317,0.981779
Video010.mp4,Video010M1001.ts,3318,4067,0.981183
Video010.mp4,Video010M1001.ts,4068,4817,0.984398
Video010.mp4,Video010M1001.ts,4818,5567,0.979192
Video010.mp4,Video010M1001.ts,5568,6317,0.970407
Video010.mp4,Video010M1001.ts,6318,7067,0.962632
Video010.mp4,Video010M1001.ts,7068,7817,0.975924
Video010.mp4,Video010M1001.ts,7818,8567,0.966323
Video010.mp4,Video010M1001.ts,8568,9317,0.978448
Video010.mp4,Video010M1001.ts,9318,10067,0.976726
Video010.mp4,Video010M1001.ts,10068,10817,0.974979
Video010.mp4,Video010M1001.ts,10818,11567,0.977144
Video010.mp4,Video010M1001.ts,11568,12317,0.96303
Video010.mp4,Video010M1001.ts,12318,13067,0.965772
Video010.mp4,Video010M1001.ts,13068,13817,0.960476
Video010.mp4,Video010M1001.ts,13818,14567,0.965552
Video010.mp4,Video010M1001.ts,14568,15317,0.974458
Video010.mp4,Video010M1001.ts,15318,16067,0.971673
Video010.mp4,Video010M1001.ts,16068,16817,0.974446
Video010.mp4,Video010M1001.ts,16818,17567,0.967616
Video010.mp4,Video010M1001.ts,17568,18317,0.965175
Video010.mp4,Video010M1001.ts,18318,19067,0.969313
Video010.mp4,Video010M1001.ts,19068,19817,0.961048
Video010.mp4,Video010M1001.ts,19818,20567,0.966088
Video001.mp4,Video001M2001.ts,849,1598,0.983628
Video001.mp4,Video001M2001.ts,1599,2348,0.992557
Video001.mp4,Video001M2001.ts,2349,3098,0.98657
Video001.mp4,Video001M2001.ts,3099,3848,0.987731
Video001.mp4,Video001M2001.ts,3849,4598,0.994116
Video001.mp4,Video001M2001.ts,4599,5348,0.992111
Video001.mp4,Video001M2001.ts,5349,6098,0.987527
Video001.mp4,Video001M2001.ts,6099,6848,0.991557
Video001.mp4,Video001M2001.ts,6849,7598,0.976316
Video001.mp4,Video001M2001.ts,7599,8348,0.978516
Video002.mp4,Video002M2001.ts,424,1173,0.971175
Video002.mp4,Video002M2001.ts,1174,1923,0.984443
Video002.mp4,Video002M2001.ts,1924,2673,0.986937
Video002.mp4,Video002M2001.ts,2674,3423,0.993682
Video002.mp4,Video002M2001.ts,3424,4173,0.982497
Video002.mp4,Video002M2001.ts,4174,4923,0.98996
Video002.mp4,Video002M2001.ts,4924,5673,0.99564
Video002.mp4,Video002M2001.ts,5674,6423,0.995296
Video003.mp4,Video003M2001.ts,164,913,0.969313
Video003.mp4,Video003M2001.ts,914,1663,0.973747
Video003.mp4,Video003M2001.ts,1664,2413,0.977926
Video003.mp4,Video003M2001.ts,2414,3163,0.980742
Video003.mp4,Video003M2001.ts,3164,3913,0.981218
Video003.mp4,Video003M2001.ts,3914,4663,0.981333
Video003.mp4,Video003M2001.ts,4664,5413,0.977866
Video003.mp4,Video003M2001.ts,5414,6163,0.976966
Video003.mp4,Video003M2001.ts,6164,6913,0.974969
Video004.mp4,Video004M2001.ts,189,938,0.973897
Video004.mp4,Video004M2001.ts,939,1688,0.982064
Video004.mp4,Video004M2001.ts,1689,2438,0.984173
Video004.mp4,Video004M2001.ts,2439,3188,0.986471
Video004.mp4,Video004M2001.ts,3189,3938,0.980987
Video004.mp4,Video004M2001.ts,3939,4688,0.99576
Video004.mp4,Video004M2001.ts,4689,5438,0.998283
Video004.mp4,Video004M2001.ts,5439,6188,0.995447
Video004.mp4,Video004M2001.ts,6189,6938,0.990866
Video004.mp4,Video004M2001.ts,6939,7688,0.980846
Video004.mp4,Video004M2001.ts,7689,8438,0.974427
Video004.mp4,Video004M2001.ts,8439,9188,0.970021
Video004.mp4,Video004M2001.ts,9189,9938,0.987226
Video004.mp4,Video004M2001.ts,9939,10688,0.988915
Video004.mp4,Video004M2001.ts,10689,11438,0.992853
Video004.mp4,Video004M2001.ts,11439,12188,0.988204
Video005.mp4,Video005M2001.ts,60,809,0.434406
Video005.mp4,Video005M2001.ts,810,1559,0.461775
Video005.mp4,Video005M2001.ts,1560,2309,0.432151
Video005.mp4,Video005M2001.ts,2310,3059,0.505316
Video005.mp4,Video005M2001.ts,3060,3809,0.474613
Video005.mp4,Video005M2001.ts,3810,4559,0.434323
Video005.mp4,Video005M2001.ts,4560,5309,0.392843
Video005.mp4,Video005M2001.ts,5310,6059,0.366146
Video005.mp4,Video005M2001.ts,6060,6809,0.553121
Video005.mp4,Video005M2001.ts,6810,7559,0.511907
Video005.mp4,Video005M2001.ts,7560,8309,0.474331
Video005.mp4,Video005M2001.ts,8310,9059,0.438515
Video005.mp4,Video005M2001.ts,9060,9809,0.410432
